distance,adult fare,student fare
Up to 3.2 km,0.83,0.39
3.3 km - 4.2 km,0.95,0.39
4.3 km - 5.2 km,1.15,0.39
5.3 km - 6.2 km,1.15,0.44
6.3 km - 7.2 km,1.25,0.44
7.3 km - 8.2 km,1.35,0.44
8.3 km - 9.2 km,1.45,0.44
9.3 km - 10.2 km,1.45,0.44
10.3 km - 11.2 km,1.55,0.44
11.3 km - 12.2 km,1.55,0.44
12.3 km - 13.2 km,1.6,0.44
13.3 km - 14.2 km,1.6,0.44
14.3 km - 15.2 km,1.66,0.49
15.3 km - 16.2 km,1.66,0.49
16.3 km - 17.2 km,1.71,0.49
17.3 km - 18.2 km,1.77,0.49
18.3 km - 19.2 km,1.77,0.49
19.3 km - 20.2 km,1.77,0.49
20.3 km - 21.2 km,,
21.3 km - 22.2 km,,
22.3 km - 23.2 km,,
23.3 km - 24.2 km,,
24.3 km - 25.2 km,,
25.3 km - 26.2 km,,
26.3 km - 27.2 km,,
27.3 km - 28.2 km,,
28.3 km - 29.2 km,,
29.3 km - 30.2 km,,
30.3 km - 31.2 km,,
31.3 km - 32.2 km,,
32.3 km - 33.2 km,,
33.3 km - 34.2 km,,
34.3 km - 35.2 km,,
35.3 km - 36.2 km,,
36.3 km - 37.2 km,,
37.3 km - 38.2 km,,
38.3 km - 39.2 km,,
39.3 km - 40.2 km,,
Over 40.2 km,,